Method,k,Time(s),Speedup,RelativeFroError
BDCSVD,5,0.97345,1,0.967221
PowerMethodSVD,5,0.556669,1.7487,0.967226
RandomizedSVD_Iter1,5,0.0441567,22.0453,0.973446
RandomizedSVD_Iter2,5,0.0669675,14.5361,0.970206
BDCSVD,20,0.937416,1,0.878682
PowerMethodSVD,20,2.39078,0.392097,0.878686
RandomizedSVD_Iter1,20,0.10465,8.95767,0.898879
RandomizedSVD_Iter2,20,0.112307,8.34694,0.889017
BDCSVD,50,0.779149,1,0.721855
PowerMethodSVD,50,5.87301,0.132666,0.721873
RandomizedSVD_Iter1,50,0.146453,5.32014,0.757255
RandomizedSVD_Iter2,50,0.216559,3.59786,0.737384
BDCSVD,100,0.659135,1,0.49395
PowerMethodSVD,100,12.2942,0.0536133,0.493956
RandomizedSVD_Iter1,100,0.515019,1.27983,0.536393
RandomizedSVD_Iter2,100,0.604898,1.08966,0.509878
BDCSVD,200,0.849638,1,4.59803e-15
PowerMethodSVD,200,24.6669,0.0344444,1.36852e-15
RandomizedSVD_Iter1,200,0.580348,1.46401,5.81389e-15
RandomizedSVD_Iter2,200,0.863809,0.983595,5.48581e-15
